iter	RMSE
0	3.832219161
1	3.7446695
2	3.665010259
3	3.590305893
4	3.51292857
5	3.447472123
6	3.381480906
7	3.318215597
8	3.266160738
9	3.212896135
10	3.164785931
11	3.114432556
12	3.072498441
13	3.033437067
14	2.999662347
15	2.963445659
16	2.931016568
17	2.898651474
18	2.871967982
19	2.843064631
20	2.816001757
21	2.793267678
22	2.770860683
23	2.750861394
24	2.729957887
25	2.712190067
26	2.693987521
27	2.678290688
28	2.662177846
29	2.647645244
30	2.635376175
31	2.6200595
32	2.606466284
33	2.592843657
34	2.580174356
35	2.568363311
36	2.557743773
37	2.546651333
38	2.535997663
39	2.525740922
40	2.516639755
41	2.508007254
42	2.498495855
43	2.490617235
44	2.48190057
45	2.473152389
46	2.465557969
47	2.458520514
48	2.451516819
49	2.443437545
50	2.436841338
51	2.430686828
52	2.423942374
53	2.417580905
54	2.412188616
55	2.406499235
56	2.400132389
57	2.39416857
58	2.388125673
59	2.382331618
60	2.376454024
61	2.372106375
62	2.366295449
63	2.360447723
64	2.356010538
65	2.351352203
66	2.347411908
67	2.343237816
68	2.339712856
69	2.334958851
70	2.331039296
71	2.327485099
72	2.32371251
73	2.319709923
74	2.316032607
75	2.312114711
76	2.308891285
77	2.305789634
78	2.302119743
79	2.299009229
80	2.296575945
81	2.293652655
82	2.290616266
83	2.287648035
84	2.284567356
85	2.279904024
86	2.277535989
87	2.274779335
88	2.272222031
89	2.26885223
90	2.266415728
91	2.263211222
92	2.260293891
93	2.256512655
94	2.253849992
95	2.251481204
96	2.248830293
97	2.246398004
98	2.244566232
99	2.242023023
100	2.239651309
101	2.237960978
102	2.235675078
103	2.23348315
104	2.229818729
105	2.226295591
106	2.225787305
107	2.223745204
108	2.221715468
109	2.219961523
110	2.218266129
111	2.216325788
112	2.213130375
113	2.212070711
114	2.20985498
115	2.207440496
116	2.206195448
117	2.203598554
118	2.202470465
119	2.200720755
120	2.199153335
121	2.197513969
122	2.197123294
123	2.196088309
124	2.194948861
125	2.193579757
126	2.193216902
127	2.190940463
128	2.188744456
129	2.187210984
130	2.186026132
131	2.184484924
132	2.183476165
133	2.182017602
134	2.180801914
135	2.179410196
