iter	Passed	Remaining
0	10	10287
1	18	9100
2	25	8466
3	32	8059
4	45	9080
5	55	9122
6	64	9105
7	74	9298
8	87	9688
9	94	9396
10	105	9504
11	114	9451
12	124	9416
13	134	9477
14	142	9373
15	154	9491
16	164	9507
17	173	9489
18	188	9719
19	199	9797
20	207	9665
21	222	9890
22	233	9900
23	240	9788
24	252	9838
25	286	10746
26	301	10852
27	318	11047
28	324	10881
29	334	10812
30	340	10657
31	350	10587
32	356	10444
33	366	10416
34	375	10341
35	386	10352
36	395	10295
37	402	10179
38	410	10122
39	417	10021
40	437	10239
41	449	10243
42	456	10163
43	467	10149
44	485	10311
45	495	10266
46	503	10203
47	520	10328
48	534	10377
49	545	10366
50	560	10420
51	569	10376
52	580	10366
53	592	10382
54	606	10425
55	614	10363
56	623	10322
57	630	10236
58	637	10161
59	644	10093
60	653	10055
61	662	10024
62	671	9979
63	678	9924
64	687	9891
65	698	9879
66	712	9917
67	722	9907
68	729	9844
69	739	9823
70	747	9783
71	758	9771
72	767	9749
73	775	9701
74	784	9678
75	792	9632
76	802	9625
77	811	9588
78	820	9567
79	834	9593
80	853	9683
81	865	9688
82	876	9680
83	908	9910
84	930	10019
85	950	10103
86	960	10077
87	966	10016
88	975	9982
89	981	9927
90	990	9898
91	998	9852
92	1007	9821
93	1013	9771
94	1022	9742
95	1030	9701
96	1039	9677
97	1048	9651
98	1057	9627
99	1064	9580
100	1075	9570
101	1082	9527
102	1094	9531
103	1108	9551
104	1115	9512
105	1125	9491
106	1128	9415
107	1138	9402
108	1146	9375
109	1156	9354
110	1162	9313
111	1173	9300
112	1180	9267
113	1190	9251
114	1197	9217
115	1208	9209
116	1218	9193
117	1225	9161
118	1245	9222
119	1255	9210
120	1265	9194
121	1274	9171
122	1278	9114
123	1292	9127
124	1303	9122
125	1310	9090
126	1315	9042
127	1325	9031
128	1344	9075
129	1358	9091
130	1367	9069
131	1375	9041
132	1384	9023
133	1391	8989
134	1399	8965
135	1405	8931
136	1414	8910
137	1422	8885
138	1425	8829
139	1434	8813
140	1445	8807
141	1452	8774
142	1461	8756
143	1469	8735
144	1478	8720
145	1495	8747
146	1501	8712
147	1511	8698
148	1517	8669
149	1528	8662
150	1540	8658
151	1546	8630
152	1555	8612
153	1563	8587
154	1571	8567
155	1578	8537
156	1584	8508
157	1592	8483
158	1598	8454
159	1607	8437
160	1614	8411
161	1624	8403
162	1635	8396
163	1637	8349
164	1645	8326
165	1655	8316
166	1663	8296
167	1667	8255
168	1670	8212
169	1695	8279
170	1700	8245
171	1703	8200
172	1722	8234
173	1753	8324
174	1763	8313
175	1770	8291
176	1781	8283
177	1785	8244
178	1789	8205
179	1795	8177
180	1802	8157
181	1810	8137
182	1817	8114
183	1826	8099
184	1829	8061
185	1836	8039
186	1840	8000
187	1848	7982
188	1859	7979
189	1864	7948
190	1872	7932
191	1882	7920
192	1892	7914
193	1898	7887
194	1908	7879
195	1912	7843
196	1917	7815
197	1920	7779
198	1922	7739
199	1927	7711
200	1934	7690
201	1941	7671
202	1945	7636
203	1952	7617
204	1957	7590
205	1960	7555
206	1967	7536
207	1971	7508
208	1974	7473
209	1982	7457
210	1988	7434
211	1991	7402
212	1998	7385
213	2002	7354
214	2007	7328
215	2014	7310
216	2018	7283
217	2023	7257
218	2030	7241
219	2035	7216
220	2040	7192
221	2052	7191
222	2074	7227
223	2083	7217
224	2090	7201
225	2096	7179
226	2101	7155
227	2109	7142
228	2114	7118
229	2122	7105
230	2127	7081
231	2145	7102
232	2156	7098
233	2163	7082
234	2174	7078
235	2185	7076
236	2193	7061
237	2202	7050
238	2207	7028
239	2212	7007
240	2220	6992
241	2225	6971
242	2230	6949
243	2241	6943
244	2253	6943
245	2261	6932
246	2274	6933
247	2285	6929
248	2291	6912
249	2299	6899
250	2307	6884
251	2312	6864
252	2317	6843
253	2322	6821
254	2331	6812
255	2340	6802
256	2351	6797
257	2356	6776
258	2363	6762
259	2368	6741
260	2377	6730
261	2382	6709
262	2386	6688
263	2393	6674
264	2398	6653
265	2404	6634
266	2412	6622
267	2417	6602
268	2422	6582
269	2430	6572
270	2440	6565
271	2446	6548
272	2451	6527
273	2460	6520
274	2470	6513
275	2482	6513
276	2498	6520
277	2506	6509
278	2511	6490
279	2516	6470
280	2523	6457
281	2533	6450
282	2538	6431
283	2543	6412
284	2550	6399
285	2556	6381
286	2560	6362
287	2568	6350
288	2573	6331
289	2581	6320
290	2592	6315
291	2602	6309
292	2613	6305
293	2622	6296
294	2632	6291
295	2638	6275
296	2645	6262
297	2654	6254
298	2669	6258
299	2678	6248
300	2682	6230
301	2687	6212
302	2696	6201
303	2701	6184
304	2708	6171
305	2716	6160
306	2725	6152
307	2731	6136
308	2737	6121
309	2742	6104
310	2747	6086
311	2755	6076
312	2760	6059
313	2765	6041
314	2772	6028
315	2777	6011
316	2783	5997
317	2791	5987
318	2796	5970
319	2806	5963
320	2815	5956
321	2821	5940
322	2827	5927
323	2846	5939
324	2861	5942
325	2869	5933
326	2874	5915
327	2881	5904
328	2887	5889
329	2893	5874
330	2905	5873
331	2920	5875
332	2929	5867
333	2938	5858
334	2950	5855
335	2959	5847
336	2966	5836
337	2972	5822
338	2983	5817
339	2996	5816
340	3005	5808
341	3014	5800
342	3021	5786
343	3030	5779
344	3042	5776
345	3052	5770
346	3063	5765
347	3083	5777
348	3109	5799
349	3116	5788
350	3129	5786
351	3137	5775
352	3149	5771
353	3163	5773
354	3177	5773
355	3189	5769
356	3197	5759
357	3214	5764
358	3228	5764
359	3238	5757
360	3243	5741
361	3255	5736
362	3263	5727
363	3273	5720
364	3278	5704
365	3288	5695
366	3295	5683
367	3303	5672
368	3308	5656
369	3312	5640
370	3320	5629
371	3326	5615
372	3334	5604
373	3339	5588
374	3344	5573
375	3354	5566
376	3365	5561
377	3371	5547
378	3376	5532
379	3388	5528
380	3401	5526
381	3409	5515
382	3417	5505
383	3422	5490
384	3433	5484
385	3441	5474
386	3452	5468
387	3460	5458
388	3469	5450
389	3474	5434
390	3481	5423
391	3486	5408
392	3492	5394
393	3499	5382
394	3504	5367
395	3509	5353
396	3518	5343
397	3523	5329
398	3531	5319
399	3539	5309
400	3547	5299
401	3554	5287
402	3563	5279
403	3571	5268
404	3581	5260
405	3596	5261
406	3607	5255
407	3621	5254
408	3634	5251
409	3649	5251
410	3661	5246
411	3665	5232
412	3672	5219
413	3683	5213
414	3688	5199
415	3695	5188
416	3702	5176
417	3711	5167
